"Country","Region","happiness_rank","happiness_score","Lower.Confidence.Interval","Upper.Confidence.Interval","Economy","Family","Health","Freedom","Trust","Generosity","Dystopia.Resi"
"Denmark","Western Europe",1,7.526,7.46,7.592,0.191573213,0.154629285,0.105639118,0.076987776,0.059065905,0.048061387,0.363990167
"Switzerland","Western Europe",2,7.509,7.428,7.59,0.20339992,0.152515648,0.114932747,0.077982421,0.054871488,0.037399121,0.358853376
"Iceland","Western Europe",3,7.501,7.333,7.669,0.190195974,0.157746967,0.115628583,0.075488602,0.019964005,0.063562192,0.377465671
"Norway","Western Europe",4,7.498,7.421,7.575,0.210381435,0.150293412,0.106133636,0.079499867,0.047714057,0.050540144,0.355381435
"Finland","Western Europe",5,7.413,7.351,7.475,0.189664104,0.153060839,0.10939026,0.077032241,0.055313638,0.034388237,0.381216781
"Canada","North America",6,7.404,7.335,7.473,0.194509724,0.148041599,0.111777418,0.077485143,0.042313614,0.060553755,0.365322798
"Netherlands","Western Europe",7,7.339,7.284,7.394,0.199574874,0.140226189,0.110684017,0.075229595,0.040778035,0.064608257,0.368918109
"New Zealand","Australia and New Zealand",8,7.334,7.264,7.404,0.185527679,0.159910008,0.113302427,0.079284156,0.057136624,0.067358876,0.337541587
"Australia","Australia and New Zealand",9,7.313,7.241,7.385,0.197515384,0.151067961,0.11639546,0.077720498,0.04421031,0.064825653,0.348215507
"Sweden","Western Europe",10,7.291,7.227,7.355,0.199123577,0.149175696,0.114004938,0.079849129,0.056051296,0.052467426,0.349381429
"Israel","Middle East and Northern Africa",11,7.267,7.199,7.335,0.184073208,0.13697124,0.116852897,0.05013348,0.012010458,0.044430989,0.4555236
"Austria","Western Europe",12,7.119,7.045,7.193,0.20373367,0.152244697,0.113168984,0.076352016,0.029987358,0.046165192,0.378343869
"United States","North America",13,7.104,7.02,7.188,0.212269144,0.147497185,0.109656532,0.067797016,0.020929054,0.057822354,0.383983671
"Costa Rica","Latin America and Caribbean",14,7.087,6.999,7.175,0.150809934,0.144139975,0.107444617,0.077924369,0.014882179,0.031823056,0.47293354
"Puerto Rico","Latin America and Caribbean",15,7.039,6.794,7.284,0.193128285,0.153591419,0.110467396,0.066519392,0.017438557,0.031541412,0.427276602
"Germany","Western Europe",16,6.994,6.93,7.058,0.207016014,0.156954532,0.116509866,0.076445525,0.040822133,0.043540177,0.358780383
"Brazil","Latin America and Caribbean",17,6.952,6.875,7.029,0.156435558,0.149508055,0.088341484,0.058148734,0.02037687,0.02269275,0.504506617
"Belgium","Western Europe",18,6.929,6.861,6.997,0.205713667,0.151896378,0.118284024,0.074114591,0.037881368,0.034983403,0.377190071
"Ireland","Western Europe",19,6.907,6.836,6.978,0.214769075,0.168172868,0.117931084,0.078193137,0.043078037,0.065097727,0.312708846
"Luxembourg","Western Europe",20,6.871,6.804,6.938,0.247055742,0.151359336,0.12304177,0.079857372,0.051417552,0.040126619,0.307167807
"Mexico","Latin America and Caribbean",21,6.778,6.68,6.876,0.164514606,0.10542933,0.104961641,0.055634405,0.02708026,0.017313367,0.525089997
"Singapore","Southeastern Asia",22,6.739,6.674,6.804,0.244183113,0.128740169,0.140553495,0.072369788,0.069723995,0.048532423,0.2958525
"United Kingdom","Western Europe",23,6.725,6.647,6.803,0.208599257,0.161594052,0.120432714,0.074402974,0.040742007,0.074581413,0.319701115
"Chile","Latin America and Caribbean",24,6.705,6.615,6.795,0.181461596,0.135103654,0.122122297,0.056359433,0.0170783,0.047121551,0.440723341
"Panama","Latin America and Caribbean",25,6.701,6.601,6.801,0.176549769,0.14760782,0.105708103,0.073014475,0.012569766,0.036084167,0.448528578
"Argentina","Latin America and Caribbean",26,6.65,6.56,6.74,0.173138346,0.160318797,0.104828571,0.063584962,0.010971429,0.016524812,0.470654135
"Czech Republic","Central and Eastern Europe",27,6.596,6.515,6.677,0.198476349,0.152809278,0.115791389,0.062792602,0.006043056,0.015053062,0.449076713
"United Arab Emirates","Middle East and Northern Africa",28,6.573,6.494,6.652,0.23939145,0.13253309,0.111049749,0.085524114,0.054101628,0.040454891,0.336995284
"Uruguay","Latin America and Caribbean",29,6.545,6.456,6.634,0.180530176,0.157590527,0.110287242,0.083098549,0.032687548,0.027587471,0.408157372
"Malta","Western Europe",30,6.488,6.409,6.567,0.201575216,0.169357275,0.123790074,0.084762639,0.027056104,0.086678483,0.30676942
"Colombia","Latin America and Caribbean",31,6.481,6.384,6.578,0.158975467,0.157643882,0.092052152,0.069024842,0.008330505,0.024110477,0.489848789
"France","Western Europe",32,6.478,6.397,6.559,0.215325718,0.155152825,0.129353195,0.071877123,0.027489966,0.018771226,0.381969744
"Thailand","Southeastern Asia",33,6.474,6.396,6.552,0.168257646,0.161379364,0.100270312,0.076541551,0.004375965,0.090664195,0.39845536
"Saudi Arabia","Middle East and Northern Africa",34,6.379,6.287,6.471,0.233505252,0.132981659,0.092909547,0.059419972,0.047041856,0.024231071,0.409910644
"Taiwan","Eastern Asia",34,6.379,6.305,6.453,0.219045305,0.145201442,0.124729581,0.050755604,0.010393479,0.039967079,0.409974918
"Qatar","Middle East and Northern Africa",36,6.375,6.178,6.572,0.28616,0.137982745,0.112506667,0.088908235,0.07537098,0.050804706,0.24819451
"Spain","Western Europe",37,6.361,6.288,6.434,0.211056438,0.17755856,0.138179532,0.059023738,0.009647854,0.027770791,0.376769376
"Algeria","Middle East and Northern Africa",38,6.355,6.227,6.483,0.165642801,0.131092054,0.097252557,0.033054288,0.025424076,0.011084186,0.536434304
"Guatemala","Latin America and Caribbean",39,6.324,6.213,6.435,0.131963947,0.13775933,0.085450664,0.079663188,0.013758697,0.045553447,0.50579222
"Suriname","Latin America and Caribbean",40,6.269,6.073,6.465,0.174965704,0.124208008,0.081245813,0.083321104,0.020245653,0.026583187,0.489475195
"Kuwait","Middle East and Northern Africa",41,6.239,6.154,6.324,0.25919859,0.140660362,0.101889726,0.06918737,0.037937169,0.025589037,0.36557942
"Bahrain","Middle East and Northern Africa",42,6.218,6.128,6.308,0.231624317,0.15181248,0.105654551,0.076190093,0.041447411,0.027576391,0.365720489
"Trinidad and Tobago","Latin America and Caribbean",43,6.168,5.95,6.386,0.214935149,0.159807069,0.085291829,0.078555447,0.002011997,0.051775292,0.407577821
"Venezuela","Latin America and Caribbean",44,6.084,5.973,6.195,0.186336292,0.169792899,0.101748849,0.032621631,0.013648915,0.006985536,0.488934911
"Slovakia","Central and Eastern Europe",45,6.078,5.996,6.16,0.210551168,0.178130964,0.115773281,0.038484699,0.004848634,0.022765712,0.429524515
"El Salvador","Latin America and Caribbean",46,6.068,5.967,6.169,0.143984838,0.133445946,0.098220171,0.061418919,0.017490112,0.014629202,0.530873434
"Malaysia","Southeastern Asia",47,6.005,5.921,6.089,0.208396336,0.146586178,0.103856786,0.064997502,0.015122398,0.069065779,0.391980017
"Nicaragua","Latin America and Caribbean",48,5.992,5.877,6.107,0.115794393,0.149400868,0.108833445,0.07774032,0.027189586,0.049687917,0.471341789
"Uzbekistan","Central and Eastern Europe",49,5.987,5.896,6.078,0.122917989,0.195106063,0.083786537,0.101633539,0.047324202,0.057334224,0.391912477
"Italy","Western Europe",50,5.977,5.898,6.056,0.226693994,0.174279739,0.142382466,0.03149908,0.004276393,0.027913669,0.39303664
"Ecuador","Latin America and Caribbean",51,5.976,5.88,6.072,0.162827979,0.143865462,0.114814257,0.067386212,0.030182396,0.01685743,0.464133199
"Belize","Latin America and Caribbean",52,5.956,5.71,6.202,0.14710544,0.115270316,0.076509402,0.086015782,0.018084285,0.039764943,0.517191068
"Japan","Eastern Asia",53,5.921,5.85,5.992,0.233080561,0.179115014,0.154519507,0.078974835,0.032063841,0.017267353,0.304989022
"Kazakhstan","Central and Eastern Europe",54,5.919,5.837,6.001,0.207709072,0.161419159,0.096952188,0.06845751,0.018807231,0.025360703,0.421228248
"Moldova","Central and Eastern Europe",55,5.897,5.823,5.971,0.117308801,0.140973376,0.088704426,0.042736985,0.003227065,0.033910463,0.57318467
"Russia","Central and Eastern Europe",56,5.856,5.789,5.923,0.210430328,0.179748975,0.100735997,0.055809426,0.006123634,0.004672131,0.442477801
"Poland","Central and Eastern Europe",57,5.835,5.749,5.921,0.213513282,0.17940874,0.118351328,0.077446444,0.009425878,0.024752356,0.377095116
"South Korea","Eastern Asia",57,5.835,5.747,5.923,0.232987147,0.123725793,0.151919452,0.043132819,0.01322365,0.032260497,0.402767781
"Bolivia","Latin America and Caribbean",59,5.822,5.74,5.904,0.136417039,0.143900721,0.080676743,0.087531776,0.013304706,0.03726898,0.500918928
"Lithuania","Central and Eastern Europe",60,5.813,5.734,5.892,0.218338207,0.183056941,0.111257526,0.03256322,0.003130913,0.003483571,0.448176501
"Belarus","Central and Eastern Europe",61,5.802,5.723,5.881,0.194867287,0.180960014,0.108762496,0.050139607,0.030087901,0.024029645,0.411206481
"North Cyprus","Western Europe",62,5.771,5.67,5.872,0.227241379,0.141788252,0.145801421,0.075543233,0.028726391,0.045610813,0.335205337
"Slovenia","Central and Eastern Europe",63,5.768,5.683,5.853,0.225289528,0.183101595,0.137224341,0.092170596,0.006302011,0.044622053,0.311237864
"Peru","Latin America and Caribbean",64,5.743,5.647,5.839,0.173432004,0.141485286,0.109688316,0.065300366,0.009214696,0.025295142,0.475565036
"Turkmenistan","Central and Eastern Europe",65,5.658,5.58,5.736,0.190910216,0.183487098,0.0777766,0.066115235,0.050312831,0.039885118,0.391461647
"Mauritius","Sub-Saharan Africa",66,5.648,5.507,5.789,0.2025,0.134020892,0.117190156,0.081701487,0.00921211,0.065423159,0.389913244
"Libya","Middle East and Northern Africa",67,5.615,5.406,5.824,0.190005343,0.169325022,0.09315049,0.07243455,0.018413179,0.030430988,0.426311665
"Latvia","Central and Eastern Europe",68,5.56,5.486,5.634,0.219043165,0.170908273,0.115021583,0.050352518,0.015989209,0.031375899,0.397228417
"Cyprus","Western Europe",69,5.546,5.442,5.65,0.237751533,0.127473855,0.153047241,0.053204111,0.009426614,0.050317346,0.368728814
"Paraguay","Latin America and Caribbean",70,5.538,5.453,5.623,0.161381365,0.200633803,0.105263633,0.083486818,0.013355002,0.04567714,0.390196822
"Romania","Central and Eastern Europe",71,5.528,5.427,5.629,0.211595514,0.131698625,0.122290159,0.066410999,0.001228292,0.023315847,0.443531114
"Estonia","Central and Eastern Europe",72,5.517,5.437,5.597,0.231944898,0.190616277,0.123433025,0.075241979,0.033567156,0.015267355,0.329862244
"Jamaica","Latin America and Caribbean",73,5.51,5.315,5.705,0.162128857,0.174903811,0.10792922,0.079123412,0.007793103,0.040372051,0.427735027
"Croatia","Central and Eastern Europe",74,5.488,5.402,5.574,0.216197157,0.110803571,0.128505831,0.043562318,0.007292274,0.03358965,0.46002551
"Hong Kong","Eastern Asia",75,5.458,5.362,5.554,0.276786369,0.159437523,0.174563943,0.088089044,0.057982778,0.073464639,0.169684866
"Somalia","Sub-Saharan Africa",76,5.44,5.321,5.559,0,0.061788603,0.021077206,0.104371324,0.057316176,0.050045956,0.705463235
"Kosovo","Central and Eastern Europe",77,5.401,5.308,5.494,0.166904277,0.122314386,0.099981485,0.026654323,0.012121829,0.051827439,0.52027032
"Turkey","Middle East and Northern Africa",78,5.389,5.295,5.483,0.216166265,0.162770458,0.120092782,0.044329189,0.022913342,0.008734459,0.425077009
"Indonesia","Southeastern Asia",79,5.314,5.237,5.391,0.178968762,0.164894618,0.09291306,0.073837034,0.000605947,0.106362439,0.382331577
"Jordan","Middle East and Northern Africa",80,5.303,5.187,5.419,0.187955874,0.162579672,0.11448614,0.067929474,0.025074486,0.026894211,0.415127286
"Azerbaijan","Central and Eastern Europe",81,5.291,5.226,5.356,0.212385182,0.143719524,0.103012663,0.066768097,0.033857494,0.010659611,0.42969193
"Philippines","Southeastern Asia",82,5.279,5.16,5.398,0.153849214,0.16646524,0.089100208,0.103909831,0.022271263,0.041057018,0.423345331
"China","Eastern Asia",83,5.245,5.199,5.291,0.195958055,0.151346044,0.140249762,0.083912297,0.005233556,0.009454719,0.413893232
"Bhutan","Southern Asia",84,5.196,5.138,5.254,0.164107005,0.174819092,0.095764049,0.088672055,0.031100847,0.093429561,0.352032333
"Kyrgyzstan","Central and Eastern Europe",85,5.185,5.103,5.267,0.108088717,0.184057859,0.106941176,0.077554484,0.009184185,0.074121504,0.439992285
"Serbia","Central and Eastern Europe",86,5.177,5.083,5.271,0.199801043,0.157096774,0.12474406,0.030361213,0.008381302,0.040056017,0.439519026
"Bosnia and Herzegovina","Central and Eastern Europe",87,5.163,5.063,5.263,0.180869649,0.124669766,0.137063723,0.01842146,0,0.057890761,0.481127252
"Montenegro","Central and Eastern Europe",88,5.161,5.055,5.267,0.208947878,0.143718272,0.123102112,0.029279209,0.024648324,0.033309436,0.436990893
"Dominican Republic","Latin America and Caribbean",89,5.155,5.037,5.273,0.199392823,0.193008729,0.111870029,0.101375364,0.024,0.04129195,0.329051406
"Morocco","Middle East and Northern Africa",90,5.151,5.058,5.244,0.163187731,0.074927199,0.115455251,0.049788391,0.016315279,0.007868375,0.57249272
"Hungary","Central and Eastern Europe",91,5.145,5.056,5.234,0.241286686,0.181076774,0.131405248,0.038425656,0.008691934,0.019241983,0.379928086
"Pakistan","Southern Asia",92,5.132,5.038,5.226,0.134091972,0.050925565,0.078538581,0.028491816,0.027045986,0.060765783,0.620198753
"Lebanon","Middle East and Northern Africa",93,5.129,5.031,5.227,0.218888672,0.125139403,0.148510431,0.051136674,0.005968025,0.04619419,0.404248391
"Portugal","Western Europe",94,5.123,5.03,5.216,0.249086473,0.184202616,0.154915089,0.087306266,0.002968963,0.022820613,0.298682413
"Macedonia","Central and Eastern Europe",95,5.121,5.017,5.225,0.199043156,0.152774849,0.126416715,0.05402851,0.013760984,0.045903144,0.408019918
"Vietnam","Southeastern Asia",96,5.061,4.991,5.131,0.146289271,0.156326813,0.130719225,0.110559178,0.022833432,0.049545544,0.383679115
"Somaliland Region","Sub-Saharan Africa",97,5.057,4.934,5.18,0.050539846,0.150013842,0.065469646,0.077377892,0.072758553,0.101797508,0.482105992
"Tunisia","Middle East and Northern Africa",98,5.045,4.965,5.125,0.193704658,0.08555996,0.118091179,0.046685828,0.016194252,0.007801784,0.532037661
"Greece","Western Europe",99,5.033,4.935,5.131,0.248134314,0.149956288,0.159008544,0.011567653,0.008199881,0,0.423095569
"Tajikistan","Central and Eastern Europe",100,4.996,4.923,5.069,0.097748199,0.15132506,0.106323058,0.086885508,0.027039632,0.05203763,0.478594876
"Mongolia","Eastern Asia",101,4.907,4.838,4.976,0.201453026,0.222097004,0.113040554,0.07330752,0.006694518,0.070387202,0.312993682
"Laos","Southeastern Asia",102,4.876,4.742,5.01,0.139544709,0.112735849,0.078529532,0.106989336,0.045986464,0.088349057,0.427885562
"Nigeria","Sub-Saharan Africa",103,4.875,4.75,5,0.154289231,0.13230359,0.010477949,0.05713641,0.00625641,0.047628718,0.591971282
"Honduras","Latin America and Caribbean",104,4.871,4.75,4.992,0.142535414,0.155196058,0.119858345,0.05492712,0.014177787,0.041962636,0.471260521
"Iran","Middle East and Northern Africa",105,4.813,4.703,4.923,0.232200291,0.08073343,0.133455225,0.046839809,0.011572824,0.080070642,0.415161022
"Zambia","Sub-Saharan Africa",106,4.795,4.645,4.945,0.127637122,0.132971846,0.049161627,0.088971846,0.02393952,0.037259645,0.540127216
"Nepal","Southern Asia",107,4.793,4.698,4.888,0.093106614,0.145418318,0.104471104,0.077220947,0.014621323,0.079616107,0.485487169
